iter	Passed	Remaining
462	773	897
463	774	894
464	777	894
465	779	893
466	781	892
467	783	890
468	785	888
469	786	886
470	787	884
471	789	882
472	793	883
473	795	882
474	796	880
475	798	878
476	799	876
477	800	874
478	801	871
479	802	869
480	803	867
481	807	867
482	810	867
483	811	865
484	813	863
485	814	861
486	816	859
487	817	857
488	819	856
489	821	855
490	822	853
491	824	851
492	825	848
493	826	846
494	827	844
495	828	842
496	829	839
497	830	837
498	831	835
499	832	832
500	834	830
501	836	829
502	837	827
503	838	825
504	839	823
505	840	820
506	841	818
507	843	816
508	844	814
509	845	812
510	846	809
511	847	807
512	848	805
513	850	804
514	852	802
515	853	800
516	854	798
517	855	795
518	856	793
519	857	791
520	858	789
521	859	787
522	860	784
523	861	782
524	862	780
525	863	778
526	865	777
527	867	775
528	868	773
529	869	771
530	870	769
531	871	766
532	872	764
533	873	762
534	874	760
535	875	758
536	876	756
537	877	753
538	879	751
539	881	750
540	882	748
541	883	746
542	884	744
543	885	742
544	886	740
545	887	738
546	889	736
547	890	734
548	891	732
549	892	730
550	894	728
551	895	727
552	897	725
553	898	723
554	899	720
555	900	718
556	901	716
557	902	714
558	903	712
559	904	710
560	905	708
561	906	706
562	910	706
563	912	705
564	914	703
565	919	705
566	922	704
567	923	702
568	925	701
569	926	699
570	928	697
571	929	695
572	930	693
573	931	691
574	932	689
575	933	687
576	934	685
577	935	683
578	936	681
579	937	678
580	940	678
581	941	676
582	942	674
583	944	672
584	945	670
585	946	668
586	946	666
587	947	664
588	948	662
589	949	660
590	950	658
591	951	656
592	954	654
593	955	652
594	956	651
595	957	649
596	959	647
597	960	645
598	961	643
599	962	641
600	963	639
601	964	637
602	965	635
603	966	633
604	968	632
605	970	630
606	971	628
607	972	627
608	973	625
609	974	623
610	975	621
611	976	619
612	977	617
613	978	615
614	979	613
615	980	611
616	983	610
617	984	608
618	985	606
619	987	605
620	988	603
621	989	601
622	990	599
623	991	597
624	992	595
625	993	593
626	994	591
627	995	589
628	996	587
629	998	586
630	999	584
631	1001	582
632	1002	580
633	1002	579
634	1003	577
635	1004	575
636	1005	573
637	1006	571
638	1008	569
639	1009	567
640	1010	565
641	1012	564
642	1014	563
643	1015	561
644	1016	559
645	1017	557
646	1018	555
647	1019	554
648	1020	552
649	1021	550
650	1022	548
651	1023	546
652	1024	544
653	1028	544
654	1030	542
655	1031	540
656	1032	538
657	1033	537
658	1034	535
659	1035	533
660	1036	531
661	1037	529
662	1039	528
663	1041	526
664	1042	525
665	1046	524
666	1048	523
667	1049	521
668	1050	519
669	1051	517
670	1052	515
671	1055	515
672	1057	513
673	1058	512
674	1059	510
675	1060	508
676	1062	506
677	1063	505
678	1065	503
679	1066	501
680	1066	499
681	1069	498
682	1071	497
683	1072	495
684	1073	493
685	1075	492
686	1076	490
